Year,Race,Driver,Constructor,Position,Points
2014,Chinese Grand Prix,Gutiérrez,Sauber,16,0.0
2014,Chinese Grand Prix,Bianchi,Marussia,17,0.0
2014,Chinese Grand Prix,Kobayashi,Caterham,18,0.0
2014,Chinese Grand Prix,Chilton,Marussia,19,0.0
2014,Chinese Grand Prix,Ericsson,Caterham,20,0.0
2014,Chinese Grand Prix,Grosjean,Lotus F1,21,0.0
2014,Chinese Grand Prix,Sutil,Sauber,22,0.0
2014,German Grand Prix,Rosberg,Mercedes,1,25.0
2014,German Grand Prix,Bottas,Williams,2,18.0
2014,German Grand Prix,Hamilton,Mercedes,3,15.0
2014,German Grand Prix,Vettel,Red Bull,4,12.0
2014,German Grand Prix,Alonso,Ferrari,5,10.0
2014,German Grand Prix,Ricciardo,Red Bull,6,8.0
2014,German Grand Prix,Hülkenberg,Force India,7,6.0
2014,German Grand Prix,Button,McLaren,8,4.0
2014,German Grand Prix,Magnussen,McLaren,9,2.0
2014,German Grand Prix,Pérez,Force India,10,1.0
2014,German Grand Prix,Räikkönen,Ferrari,11,0.0
2014,German Grand Prix,Maldonado,Lotus F1,12,0.0
2014,German Grand Prix,Vergne,Toro Rosso,13,0.0
2014,German Grand Prix,Gutiérrez,Sauber,14,0.0
2014,German Grand Prix,Bianchi,Marussia,15,0.0
2014,German Grand Prix,Kobayashi,Caterham,16,0.0
2014,German Grand Prix,Chilton,Marussia,17,0.0
2014,German Grand Prix,Ericsson,Caterham,18,0.0
2014,German Grand Prix,Sutil,Sauber,19,0.0
2014,German Grand Prix,Kvyat,Toro Rosso,20,0.0
2014,German Grand Prix,Grosjean,Lotus F1,21,0.0
2014,German Grand Prix,Massa,Williams,22,0.0
2014,Hungarian Grand Prix,Ricciardo,Red Bull,1,25.0
2014,Hungarian Grand Prix,Alonso,Ferrari,2,18.0
2014,Hungarian Grand Prix,Hamilton,Mercedes,3,15.0
2014,Hungarian Grand Prix,Rosberg,Mercedes,4,12.0
2014,Hungarian Grand Prix,Massa,Williams,5,10.0
2014,Hungarian Grand Prix,Räikkönen,Ferrari,6,8.0
2014,Hungarian Grand Prix,Vettel,Red Bull,7,6.0
2014,Hungarian Grand Prix,Bottas,Williams,8,4.0
2014,Hungarian Grand Prix,Vergne,Toro Rosso,9,2.0
2014,Hungarian Grand Prix,Button,McLaren,10,1.0
2014,Hungarian Grand Prix,Sutil,Sauber,11,0.0
2014,Hungarian Grand Prix,Magnussen,McLaren,12,0.0
2014,Hungarian Grand Prix,Maldonado,Lotus F1,13,0.0
2014,Hungarian Grand Prix,Kvyat,Toro Rosso,14,0.0
2014,Hungarian Grand Prix,Bianchi,Marussia,15,0.0
2014,Hungarian Grand Prix,Chilton,Marussia,16,0.0
2014,Hungarian Grand Prix,Gutiérrez,Sauber,17,0.0
2014,Hungarian Grand Prix,Kobayashi,Caterham,18,0.0
2014,Hungarian Grand Prix,Pérez,Force India,19,0.0
2014,Hungarian Grand Prix,Hülkenberg,Force India,20,0.0
2014,Hungarian Grand Prix,Grosjean,Lotus F1,21,0.0
2014,Hungarian Grand Prix,Ericsson,Caterham,22,0.0
2014,Italian Grand Prix,Hamilton,Mercedes,1,25.0
2014,Italian Grand Prix,Rosberg,Mercedes,2,18.0
2014,Italian Grand Prix,Massa,Williams,3,15.0
2014,Italian Grand Prix,Bottas,Williams,4,12.0
2014,Italian Grand Prix,Ricciardo,Red Bull,5,10.0
2014,Italian Grand Prix,Vettel,Red Bull,6,8.0
2014,Italian Grand Prix,Pérez,Force India,7,6.0
2014,Italian Grand Prix,Button,McLaren,8,4.0
2014,Italian Grand Prix,Räikkönen,Ferrari,9,2.0
2014,Italian Grand Prix,Magnussen,McLaren,10,1.0
2014,Italian Grand Prix,Kvyat,Toro Rosso,11,0.0
2014,Italian Grand Prix,Hülkenberg,Force India,12,0.0
2014,Italian Grand Prix,Vergne,Toro Rosso,13,0.0
2014,Italian Grand Prix,Maldonado,Lotus F1,14,0.0
2014,Italian Grand Prix,Sutil,Sauber,15,0.0
2014,Italian Grand Prix,Grosjean,Lotus F1,16,0.0
2014,Italian Grand Prix,Kobayashi,Caterham,17,0.0
2014,Italian Grand Prix,Bianchi,Marussia,18,0.0
2014,Italian Grand Prix,Gutiérrez,Sauber,19,0.0
2014,Italian Grand Prix,Ericsson,Caterham,20,0.0
2014,Italian Grand Prix,Alonso,Ferrari,21,0.0
2014,Italian Grand Prix,Chilton,Marussia,22,0.0
2014,Japanese Grand Prix,Hamilton,Mercedes,1,25.0
2014,Japanese Grand Prix,Rosberg,Mercedes,2,18.0
2014,Japanese Grand Prix,Vettel,Red Bull,3,15.0
2014,Japanese Grand Prix,Ricciardo,Red Bull,4,12.0
2014,Japanese Grand Prix,Button,McLaren,5,10.0
2014,Japanese Grand Prix,Bottas,Williams,6,8.0
2014,Japanese Grand Prix,Massa,Williams,7,6.0
2014,Japanese Grand Prix,Hülkenberg,Force India,8,4.0
2014,Japanese Grand Prix,Vergne,Toro Rosso,9,2.0
2014,Japanese Grand Prix,Pérez,Force India,10,1.0
2014,Japanese Grand Prix,Kvyat,Toro Rosso,11,0.0
2014,Japanese Grand Prix,Räikkönen,Ferrari,12,0.0
2014,Japanese Grand Prix,Gutiérrez,Sauber,13,0.0
2014,Japanese Grand Prix,Magnussen,McLaren,14,0.0
2014,Japanese Grand Prix,Grosjean,Lotus F1,15,0.0
2014,Japanese Grand Prix,Maldonado,Lotus F1,16,0.0
2014,Japanese Grand Prix,Ericsson,Caterham,17,0.0
